Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-01-02;985,20;986,00;992,60;996,20;980,80;984,40;986,667;232671;229553466,5;4505;
2019-12-30;995,20;995,80;1006,00;1006,00;993,80;993,80;996,767;105443;105105028,5;2079;
2019-12-27;1003,50;1004,00;1006,00;1006,50;986,40;1005,00;999,827;117293;117270923,05;2497;
2019-12-23;1005,50;1006,50;997,00;1007,00;996,60;1007,00;1003,477;84806;85095792,95;1525;
2019-12-20;993,60;994,20;984,80;996,60;983,00;996,60;994,844;318145;316494505,4;3883;
2019-12-19;980,80;981,20;983,80;984,00;977,20;984,00;982,43;303568;298226676,9;3693;
2019-12-18;980,00;980,40;969,80;987,20;969,80;980,20;979,956;200968;196945332,88;3380;
2019-12-17;976,00;976,40;987,00;988,20;974,60;975,80;978,405;253961;248497887,7;4142;
2019-12-16;986,40;986,60;965,00;988,20;964,00;985,20;980,607;218294;214064106,6;3503;
2019-12-13;959,60;960,00;973,20;973,80;954,20;962,40;961,292;307821;296226935,15;5322;
2019-12-12;968,80;969,20;978,80;980,80;968,40;970,20;973,539;213368;207747112,6;3728;
2019-12-11;979,40;979,80;985,00;987,20;974,00;979,60;978,815;273193;267407810,3;4609;
2019-12-10;985,40;985,60;989,60;990,40;980,60;985,00;985,065;227038;223643344,1;4581;
2019-12-09;986,80;987,20;996,60;1003,50;983,20;987,00;987,569;223664;220882340,6;4151;
2019-12-06;996,40;996,80;986,40;997,00;983,00;994,80;992,704;192660;191071581,7;3106;
2019-12-05;988,60;989,20;982,20;993,00;981,20;986,20;988,208;200558;198202531,4;3550;
2019-12-04;980,00;980,40;993,40;994,00;975,40;978,80;982,725;231130;227160508,1;3954;
2019-12-03;991,80;992,00;978,20;993,80;978,20;992,00;990,458;270777;268195449,3;5362;
2019-12-02;977,80;978,00;977,40;985,80;976,20;979,40;980,028;293693;287801733,7;4582;
2019-11-29;979,80;980,20;978,20;984,40;975,60;975,60;977,751;250642;245128176,1;3242;
2019-11-28;981,00;981,60;983,60;985,00;977,20;981,80;980,598;101307;99341627,8;2426;
2019-11-27;987,00;987,60;983,40;987,40;979,00;986,60;984,506;181595;178779285,4;3376;
2019-11-26;984,40;984,80;977,20;985,60;972,40;984,20;981,717;468244;459651890,2;6100;
2019-11-25;977,00;977,60;964,20;982,40;959,00;975,20;973,895;351245;342235935,8;3939;
2019-11-22;965,00;965,20;960,00;969,60;957,60;963,60;964,666;206078;198789421,73;3825;
2019-11-21;961,20;961,40;968,00;969,00;954,00;960,00;960,548;282336;271190755,6;4270;
2019-11-20;968,80;969,40;968,00;973,20;964,20;970,20;968,683;313000;303107857;4380;
2019-11-19;965,80;966,20;970,00;979,60;965,80;969,00;970,641;295743;287070847,7;4635;
2019-11-18;967,40;967,80;967,00;972,00;958,80;968,80;966,27;288683;282457600,8;3370;
2019-11-15;965,00;965,80;950,60;966,60;948,60;966,60;961,293;264970;254608543,29;3950;
2019-11-14;948,80;949,40;964,40;968,80;947,80;948,80;954,444;359432;343058526,1;5848;
